timestamp,station,air_temperature_celsius,wind_speed_knots,wind_direction_deg,air_pressure_hpa,relative_humidity_percent
2026-01-04 11:00:00,Maitri,-15.16,23.21,329,999.5,44.4
2026-01-04 12:00:00,Maitri,-22.61,9.24,291,1010.5,51.0
2026-01-04 13:00:00,Maitri,-0.98,18.08,170,988.8,63.5
2026-01-04 14:00:00,Maitri,-7.45,31.16,106,972.7,44.2
2026-01-04 15:00:00,Maitri,-8.43,39.71,304,1011.7,69.8
2026-01-04 16:00:00,Maitri,-11.29,24.49,88,1007.7,67.4
2026-01-04 17:00:00,Maitri,-9.83,30.02,240,976.6,69.4
2026-01-04 18:00:00,Maitri,-23.08,43.78,357,1011.3,44.3
2026-01-04 19:00:00,Maitri,-14.87,36.93,192,973.2,72.4
2026-01-04 20:00:00,Maitri,-5.99,28.27,81,995.1,77.5
2026-01-04 21:00:00,Maitri,-15.2,35.8,108,998.9,88.0
2026-01-04 22:00:00,Maitri,-22.96,38.52,194,965.1,41.6
2026-01-04 23:00:00,Maitri,-0.87,7.18,271,977.9,70.9
2026-01-05 00:00:00,Maitri,-10.18,22.58,64,983.2,55.6
2026-01-05 01:00:00,Maitri,-6.43,34.36,308,991.1,74.9
2026-01-05 02:00:00,Maitri,-2.96,33.2,268,966.4,48.0
2026-01-05 03:00:00,Maitri,-14.64,39.1,80,1008.2,61.0
2026-01-05 04:00:00,Maitri,-25.12,38.03,226,984.4,61.6
2026-01-05 05:00:00,Maitri,-20.11,31.69,205,962.1,58.7
2026-01-05 06:00:00,Maitri,-5.33,33.56,164,968.2,65.9
2026-01-05 07:00:00,Maitri,-6.73,42.6,79,962.7,43.7
2026-01-05 08:00:00,Maitri,-20.35,21.06,188,972.3,73.1
2026-01-05 09:00:00,Maitri,-13.13,40.64,260,984.4,42.5
2026-01-05 10:00:00,Maitri,-0.06,34.77,297,1011.8,63.3
2026-01-05 11:00:00,Maitri,-17.49,39.9,136,990.4,86.9
2026-01-05 12:00:00,Maitri,-12.49,15.55,51,963.2,91.7
2026-01-05 13:00:00,Maitri,-6.31,9.13,0,1013.9,74.0
2026-01-05 14:00:00,Maitri,-11.75,45.8,82,968.4,57.2
2026-01-05 15:00:00,Maitri,-27.02,43.05,104,992.8,87.8
2026-01-05 16:00:00,Maitri,-17.45,38.66,76,962.5,47.9
2026-01-05 17:00:00,Maitri,-23.09,26.15,263,986.3,85.2
2026-01-05 18:00:00,Maitri,-11.98,30.79,115,964.0,85.6
2026-01-05 19:00:00,Maitri,-28.07,14.58,302,969.3,85.3
2026-01-05 20:00:00,Maitri,-11.03,24.39,161,992.5,81.2
2026-01-05 21:00:00,Maitri,-23.81,30.69,117,995.9,62.8
2026-01-05 22:00:00,Maitri,-17.06,15.84,149,991.6,84.4
2026-01-05 23:00:00,Maitri,-25.88,6.78,266,1007.0,57.0
2026-01-06 00:00:00,Maitri,-21.02,29.97,32,997.9,50.5
2026-01-06 01:00:00,Maitri,-22.1,38.29,338,1013.7,79.0
2026-01-06 02:00:00,Maitri,-12.21,5.28,237,992.4,78.9
2026-01-06 03:00:00,Maitri,-23.92,35.08,174,984.1,65.3
2026-01-06 04:00:00,Maitri,-28.23,10.42,163,974.1,61.1
2026-01-06 05:00:00,Maitri,1.24,15.7,272,989.9,87.2
2026-01-06 06:00:00,Maitri,-8.02,21.55,133,986.0,90.4
2026-01-06 07:00:00,Maitri,-1.73,11.0,73,962.7,83.4
2026-01-06 08:00:00,Maitri,2.05,41.3,308,992.5,64.9
2026-01-06 09:00:00,Maitri,-19.79,24.97,58,1001.2,71.3
2026-01-06 10:00:00,Maitri,-16.29,32.07,195,1003.6,54.6
2026-01-06 11:00:00,Maitri,-12.13,30.92,122,1008.2,82.0
2026-01-06 12:00:00,Maitri,-23.93,23.82,207,998.6,52.6
2026-01-06 13:00:00,Maitri,-0.71,45.68,356,993.1,71.4
2026-01-06 14:00:00,Maitri,-7.18,22.61,345,1002.4,89.2
2026-01-06 15:00:00,Maitri,-6.68,36.19,114,962.3,90.8
2026-01-06 16:00:00,Maitri,-6.6,12.53,358,1009.7,49.5
2026-01-06 17:00:00,Maitri,-21.64,33.47,201,968.6,91.2
2026-01-06 18:00:00,Maitri,-13.53,24.11,31,968.3,90.6
2026-01-06 19:00:00,Maitri,-15.59,9.88,189,966.4,53.3
2026-01-06 20:00:00,Maitri,-25.24,26.97,89,963.1,75.5
2026-01-06 21:00:00,Maitri,-22.94,32.33,163,979.5,83.4
2026-01-06 22:00:00,Maitri,-24.98,10.44,191,972.3,80.4
2026-01-06 23:00:00,Maitri,-9.54,38.17,16,988.5,51.7
2026-01-07 00:00:00,Maitri,-11.33,42.44,225,965.8,67.6
2026-01-07 01:00:00,Maitri,-2.25,33.25,184,983.4,53.5
2026-01-07 02:00:00,Maitri,-18.54,30.85,113,993.5,69.8
2026-01-07 03:00:00,Maitri,-16.98,39.06,179,962.4,46.4
2026-01-07 04:00:00,Maitri,-11.27,45.41,232,988.6,65.4
2026-01-07 05:00:00,Maitri,-6.03,24.44,232,1011.6,50.7
2026-01-07 06:00:00,Maitri,-14.21,37.39,280,964.2,80.7
2026-01-07 07:00:00,Maitri,-17.83,36.92,169,965.2,59.5
2026-01-07 08:00:00,Maitri,-23.33,37.46,256,977.6,47.5
2026-01-07 09:00:00,Maitri,-5.38,15.47,206,1001.6,87.2
2026-01-07 10:00:00,Maitri,-2.92,46.15,58,1001.5,66.9
2026-01-07 11:00:00,Maitri,-27.07,46.18,242,1001.1,72.4
2026-01-07 12:00:00,Maitri,-19.57,33.46,181,1010.8,83.7
2026-01-07 13:00:00,Maitri,-22.68,29.55,277,976.8,75.0
2026-01-07 14:00:00,Maitri,-11.18,15.72,8,1000.8,54.2
2026-01-07 15:00:00,Maitri,-25.75,41.43,199,1013.3,88.5
2026-01-07 16:00:00,Maitri,0.64,4.51,345,1007.3,83.6
2026-01-07 17:00:00,Maitri,-27.13,9.68,106,972.8,59.2
2026-01-07 18:00:00,Maitri,-4.08,34.97,216,1011.4,79.1
2026-01-07 19:00:00,Maitri,-4.0,27.73,225,1011.5,91.3
2026-01-07 20:00:00,Maitri,-26.23,30.31,151,976.3,51.3
2026-01-07 21:00:00,Maitri,-25.61,21.9,247,967.8,69.7
2026-01-07 22:00:00,Maitri,-12.78,31.35,334,1006.8,41.0
2026-01-07 23:00:00,Maitri,-21.87,36.58,134,966.1,80.3
2026-01-08 00:00:00,Maitri,-10.96,6.49,289,1008.9,88.2
2026-01-08 01:00:00,Maitri,-9.31,27.39,194,988.5,71.0
2026-01-08 02:00:00,Maitri,-18.97,28.62,187,984.2,66.3
2026-01-08 03:00:00,Maitri,-4.18,20.08,116,1007.9,46.3
2026-01-08 04:00:00,Maitri,-22.08,40.08,118,1012.6,47.6
2026-01-08 05:00:00,Maitri,-26.06,6.67,162,1001.7,91.5
2026-01-08 06:00:00,Maitri,-6.31,44.9,203,985.4,56.6
2026-01-08 07:00:00,Maitri,-9.55,42.92,157,987.5,50.9
2026-01-08 08:00:00,Maitri,-17.09,6.92,326,1013.9,68.5
2026-01-08 09:00:00,Maitri,-8.27,13.97,95,987.6,81.9
2026-01-08 10:00:00,Maitri,-18.62,11.97,291,965.6,52.2
2026-01-08 11:00:00,Maitri,-2.46,35.75,35,997.8,78.5
2026-01-08 12:00:00,Maitri,-19.19,44.41,103,973.2,64.8
2026-01-08 13:00:00,Maitri,-6.58,42.19,311,983.2,83.7
2026-01-08 14:00:00,Maitri,-16.41,11.72,302,995.2,85.9
2026-01-08 15:00:00,Maitri,-16.42,12.75,129,1010.9,50.6
2026-01-08 16:00:00,Maitri,-14.85,11.08,100,996.1,73.6
2026-01-08 17:00:00,Maitri,-5.21,18.31,114,971.4,84.8
2026-01-08 18:00:00,Maitri,-18.21,10.78,110,996.1,87.8
2026-01-08 19:00:00,Maitri,-26.84,43.57,196,992.5,61.9
2026-01-08 20:00:00,Maitri,-10.83,27.37,312,962.7,43.5
2026-01-08 21:00:00,Maitri,-16.32,39.87,3,988.4,52.0
2026-01-08 22:00:00,Maitri,-10.31,7.13,348,977.0,42.6
2026-01-08 23:00:00,Maitri,-21.11,34.71,286,965.5,50.1
2026-01-09 00:00:00,Maitri,-2.48,25.58,227,1004.1,62.2
2026-01-09 01:00:00,Maitri,1.95,46.15,212,1013.6,74.9
2026-01-09 02:00:00,Maitri,-20.47,34.14,249,976.4,58.8
2026-01-09 03:00:00,Maitri,-15.38,34.41,146,1008.1,61.2
2026-01-09 04:00:00,Maitri,-2.07,36.41,270,985.9,67.6
2026-01-09 05:00:00,Maitri,-27.61,4.78,172,970.9,51.2
2026-01-09 06:00:00,Maitri,-19.15,17.45,62,1002.3,73.2
2026-01-09 07:00:00,Maitri,-4.23,26.62,163,1011.5,75.4
2026-01-09 08:00:00,Maitri,-10.19,40.12,200,1000.4,76.8
2026-01-09 09:00:00,Maitri,-18.73,8.22,298,973.5,63.9
2026-01-09 10:00:00,Maitri,-11.97,22.95,28,993.1,50.2
2026-01-09 11:00:00,Maitri,-10.69,6.48,253,963.4,49.9
2026-01-09 12:00:00,Maitri,-3.3,25.79,285,997.1,81.9
2026-01-09 13:00:00,Maitri,-25.46,24.58,165,1011.2,84.1
2026-01-09 14:00:00,Maitri,-17.63,19.38,230,985.0,45.3
2026-01-09 15:00:00,Maitri,-27.01,9.82,225,987.5,80.7
2026-01-09 16:00:00,Maitri,-27.55,10.7,272,970.0,87.9
2026-01-09 17:00:00,Maitri,2.47,40.27,105,987.4,56.5
2026-01-09 18:00:00,Maitri,-17.62,6.29,262,970.7,59.0
2026-01-09 19:00:00,Maitri,-11.65,22.4,271,1001.5,40.9
2026-01-09 20:00:00,Maitri,-19.05,23.06,176,963.1,58.3
2026-01-09 21:00:00,Maitri,-24.22,35.55,302,996.1,85.7
2026-01-09 22:00:00,Maitri,-17.88,22.85,54,1004.0,46.4
2026-01-09 23:00:00,Maitri,2.35,5.12,81,973.5,55.1
2026-01-10 00:00:00,Maitri,-0.87,19.5,196,975.0,89.7
2026-01-10 01:00:00,Maitri,2.5,20.25,162,1005.9,62.8
2026-01-10 02:00:00,Maitri,-17.83,20.92,242,987.2,69.2
2026-01-10 03:00:00,Maitri,-1.55,18.25,301,964.5,67.4
2026-01-10 04:00:00,Maitri,0.78,16.0,356,969.9,72.3
2026-01-10 05:00:00,Maitri,-22.34,24.6,113,1001.7,57.7
2026-01-10 06:00:00,Maitri,0.56,42.74,158,1010.4,49.1
2026-01-10 07:00:00,Maitri,-10.27,9.08,128,1002.8,70.7
2026-01-10 08:00:00,Maitri,-1.34,16.61,273,967.7,64.8
2026-01-10 09:00:00,Maitri,-18.2,18.05,25,973.5,49.1
2026-01-10 10:00:00,Maitri,-12.5,20.65,307,1007.6,55.2
2026-01-10 11:00:00,Maitri,-1.88,25.66,79,993.9,79.0
2026-01-10 12:00:00,Maitri,-9.61,15.8,84,976.0,86.5
2026-01-10 13:00:00,Maitri,-23.13,42.16,65,965.4,73.9
2026-01-10 14:00:00,Maitri,-26.39,36.53,160,989.7,48.7
2026-01-10 15:00:00,Maitri,-24.5,5.06,220,989.6,83.1
2026-01-10 16:00:00,Maitri,-7.84,27.42,211,977.1,77.5
2026-01-10 17:00:00,Maitri,-12.34,19.92,61,966.7,45.6
2026-01-10 18:00:00,Maitri,-8.98,7.89,314,1013.7,64.9
2026-01-10 19:00:00,Maitri,-8.18,14.67,170,981.2,47.9
2026-01-10 20:00:00,Maitri,-2.36,30.91,230,1009.5,42.5
2026-01-10 21:00:00,Maitri,-1.71,33.43,65,1011.9,82.9
2026-01-10 22:00:00,Maitri,-9.47,15.16,2,986.2,84.5
2026-01-10 23:00:00,Maitri,-6.06,31.82,24,999.8,69.2
2026-01-11 00:00:00,Maitri,-20.71,20.98,181,999.0,68.7
2026-01-11 01:00:00,Maitri,-28.42,12.25,274,995.3,46.5
2026-01-11 02:00:00,Maitri,-4.58,39.61,71,997.9,57.1
2026-01-11 03:00:00,Maitri,-19.25,44.05,345,996.9,44.3
2026-01-11 04:00:00,Maitri,-24.48,28.37,5,992.2,77.8
2026-01-11 05:00:00,Maitri,-14.32,35.35,94,1000.5,54.1
2026-01-11 06:00:00,Maitri,-27.2,24.35,278,994.9,50.1
2026-01-11 07:00:00,Maitri,-19.27,16.74,175,1007.4,55.5
2026-01-11 08:00:00,Maitri,-11.91,7.6,19,1008.1,77.6
2026-01-11 09:00:00,Maitri,-1.37,39.05,67,997.0,85.5
2026-01-11 10:00:00,Maitri,-22.5,35.34,34,969.7,73.7
2026-01-11 11:00:00,Maitri,-16.74,33.97,165,1006.7,51.2
2026-01-11 12:00:00,Maitri,-23.38,35.04,13,993.9,90.9
2026-01-11 13:00:00,Maitri,-19.82,16.52,6,987.1,85.8
2026-01-11 14:00:00,Maitri,-8.47,17.32,239,1000.0,44.7
2026-01-11 15:00:00,Maitri,-6.35,6.74,193,1011.3,53.3
2026-01-11 16:00:00,Maitri,2.53,24.48,168,983.1,62.9
2026-01-11 17:00:00,Maitri,-10.99,33.86,341,993.8,74.4
2026-01-11 18:00:00,Maitri,-15.66,13.48,123,997.8,91.7
2026-01-11 19:00:00,Maitri,-22.84,12.95,8,994.3,74.0
2026-01-11 20:00:00,Maitri,-4.08,42.48,221,987.5,48.3
2026-01-11 21:00:00,Maitri,-9.75,12.34,73,971.0,45.3
2026-01-11 22:00:00,Maitri,-22.83,26.05,128,996.0,67.2
2026-01-11 23:00:00,Maitri,-7.31,10.31,140,1004.0,80.6
2026-01-12 00:00:00,Maitri,-1.87,29.79,69,1000.7,60.3
2026-01-12 01:00:00,Maitri,-14.24,18.3,223,986.7,69.2
2026-01-12 02:00:00,Maitri,-10.09,32.07,246,979.2,63.8
2026-01-12 03:00:00,Maitri,-0.98,7.06,237,998.3,88.9
2026-01-12 04:00:00,Maitri,-12.37,37.42,119,978.0,41.0
2026-01-12 05:00:00,Maitri,-26.63,20.82,61,963.0,63.0
2026-01-12 06:00:00,Maitri,-4.65,29.15,134,1001.5,64.0
2026-01-12 07:00:00,Maitri,-25.57,30.47,185,962.4,66.6
2026-01-12 08:00:00,Maitri,-28.33,19.43,68,967.6,82.0
2026-01-12 09:00:00,Maitri,-5.54,6.37,211,1001.9,77.2
2026-01-12 10:00:00,Maitri,-2.14,42.38,66,979.3,63.7
2026-01-12 11:00:00,Maitri,-8.06,16.57,299,997.7,49.0
2026-01-12 12:00:00,Maitri,-1.32,33.78,279,1008.3,44.6
2026-01-12 13:00:00,Maitri,-20.36,20.98,314,1002.5,61.6
2026-01-12 14:00:00,Maitri,-22.98,7.05,285,981.1,62.1
2026-01-12 15:00:00,Maitri,-0.56,42.35,349,1000.1,49.0
2026-01-12 16:00:00,Maitri,-18.08,17.49,155,1010.4,45.5
2026-01-12 17:00:00,Maitri,-13.98,23.28,172,995.6,41.7
2026-01-12 18:00:00,Maitri,-0.88,13.32,38,986.2,75.3
2026-01-12 19:00:00,Maitri,-15.85,9.07,291,964.1,83.5
2026-01-12 20:00:00,Maitri,-12.6,15.18,314,1000.8,64.4
2026-01-12 21:00:00,Maitri,1.02,21.1,185,986.8,87.6
2026-01-12 22:00:00,Maitri,-15.25,31.6,45,993.1,40.9
2026-01-12 23:00:00,Maitri,-4.02,25.0,229,972.1,63.2
2026-01-13 00:00:00,Maitri,-15.91,34.75,318,998.4,89.2
2026-01-13 01:00:00,Maitri,-25.45,30.85,298,979.6,48.9
2026-01-13 02:00:00,Maitri,-22.05,19.69,300,1004.7,78.4
2026-01-13 03:00:00,Maitri,-3.8,26.99,55,971.9,89.8
2026-01-13 04:00:00,Maitri,-20.04,41.91,147,1012.6,78.9
2026-01-13 05:00:00,Maitri,-7.3,15.39,228,981.6,90.5
2026-01-13 06:00:00,Maitri,-19.14,27.08,72,977.3,91.1
2026-01-13 07:00:00,Maitri,-15.59,11.63,354,971.1,45.6
2026-01-13 08:00:00,Maitri,-6.05,19.97,219,974.2,58.6
2026-01-13 09:00:00,Maitri,-27.92,30.83,220,980.0,63.2
2026-01-13 10:00:00,Maitri,-4.74,10.6,235,989.6,68.4
2026-01-13 11:00:00,Maitri,-17.88,29.61,236,969.3,68.7
2026-01-13 12:00:00,Maitri,2.79,11.63,58,1000.9,68.4
2026-01-13 13:00:00,Maitri,-25.18,36.42,179,983.0,61.8
2026-01-13 14:00:00,Maitri,1.2,36.2,349,1012.0,49.1
2026-01-13 15:00:00,Maitri,-7.66,20.79,257,980.0,61.7
2026-01-13 16:00:00,Maitri,-17.4,24.97,56,1010.1,82.2
2026-01-13 17:00:00,Maitri,-19.51,7.16,37,1004.1,66.9
2026-01-13 18:00:00,Maitri,-13.26,6.91,80,982.5,42.2
2026-01-13 19:00:00,Maitri,-24.18,27.98,92,966.7,65.8
2026-01-13 20:00:00,Maitri,-25.18,7.58,78,965.9,49.1
2026-01-13 21:00:00,Maitri,-21.64,34.63,249,970.5,67.9
2026-01-13 22:00:00,Maitri,-12.89,30.65,96,985.5,52.3
2026-01-13 23:00:00,Maitri,-3.02,22.47,122,1007.2,68.0
2026-01-14 00:00:00,Maitri,-12.74,10.06,12,1012.1,41.9
2026-01-14 01:00:00,Maitri,-0.09,20.13,277,991.1,80.3
2026-01-14 02:00:00,Maitri,-9.21,34.76,5,1007.8,55.4
2026-01-14 03:00:00,Maitri,-11.4,29.63,270,992.5,67.9
2026-01-14 04:00:00,Maitri,-18.63,21.11,56,985.4,77.9
2026-01-14 05:00:00,Maitri,-18.17,6.14,280,978.9,75.8
2026-01-14 06:00:00,Maitri,-13.7,44.96,311,979.8,78.7
2026-01-14 07:00:00,Maitri,-20.53,27.12,175,990.8,72.4
2026-01-14 08:00:00,Maitri,-15.6,27.35,55,1005.7,83.8
2026-01-14 09:00:00,Maitri,-20.29,39.47,46,1008.5,59.8
2026-01-14 10:00:00,Maitri,-15.07,40.43,283,966.1,88.3
2026-01-14 11:00:00,Maitri,-19.11,9.74,92,965.0,72.2
2026-01-14 12:00:00,Maitri,-8.51,43.36,200,968.7,70.9
2026-01-14 13:00:00,Maitri,-1.57,32.66,236,978.0,57.5
2026-01-14 14:00:00,Maitri,0.57,11.35,359,975.6,79.0
2026-01-14 15:00:00,Maitri,-27.27,9.75,143,1004.5,74.8
2026-01-14 16:00:00,Maitri,-16.09,37.8,344,965.2,43.6
2026-01-14 17:00:00,Maitri,-12.96,5.87,209,972.9,71.3
2026-01-14 18:00:00,Maitri,-10.74,42.27,117,999.8,69.1
2026-01-14 19:00:00,Maitri,-10.6,29.98,67,1010.3,41.7
2026-01-14 20:00:00,Maitri,-20.83,33.63,327,998.3,82.1
2026-01-14 21:00:00,Maitri,-3.48,27.09,162,1011.6,77.7
2026-01-14 22:00:00,Maitri,2.27,6.02,323,984.3,41.2
2026-01-14 23:00:00,Maitri,-23.49,5.5,10,989.6,72.5
2026-01-15 00:00:00,Maitri,-4.66,35.19,328,974.0,89.1
2026-01-15 01:00:00,Maitri,-20.87,8.61,262,975.1,76.5
2026-01-15 02:00:00,Maitri,-7.08,20.83,289,997.1,78.2
2026-01-15 03:00:00,Maitri,-25.88,36.31,311,991.3,61.4
2026-01-15 04:00:00,Maitri,-9.53,16.27,303,980.0,89.3
2026-01-15 05:00:00,Maitri,1.16,26.73,5,980.2,53.4
2026-01-15 06:00:00,Maitri,-1.03,7.82,170,992.0,89.6
2026-01-15 07:00:00,Maitri,-17.33,23.51,199,991.7,80.7
2026-01-15 08:00:00,Maitri,-13.5,14.98,310,973.0,51.4
2026-01-15 09:00:00,Maitri,-0.65,18.07,291,1002.5,54.6
2026-01-15 10:00:00,Maitri,-5.02,16.06,63,970.3,51.4
2026-01-15 11:00:00,Maitri,-8.21,36.35,200,981.0,75.9
2026-01-15 12:00:00,Maitri,-0.54,42.58,326,987.0,54.4
2026-01-15 13:00:00,Maitri,-19.78,41.04,315,992.0,50.7
2026-01-15 14:00:00,Maitri,-13.12,9.99,96,979.9,82.3
2026-01-15 15:00:00,Maitri,-26.71,26.59,176,977.0,64.7
2026-01-15 16:00:00,Maitri,-26.91,13.44,19,996.7,79.3
2026-01-15 17:00:00,Maitri,-9.53,15.8,53,996.5,85.5
2026-01-15 18:00:00,Maitri,-13.2,33.42,291,971.7,56.1
2026-01-15 19:00:00,Maitri,-10.52,40.91,244,989.1,40.8
2026-01-15 20:00:00,Maitri,-7.6,41.28,196,980.1,85.0
2026-01-15 21:00:00,Maitri,-24.65,26.76,232,974.6,74.1
2026-01-15 22:00:00,Maitri,-2.2,45.92,170,982.1,85.0
2026-01-15 23:00:00,Maitri,1.58,45.37,76,967.0,50.5
2026-01-16 00:00:00,Maitri,-8.32,44.91,275,975.3,56.2
2026-01-16 01:00:00,Maitri,-11.12,25.71,97,1010.7,75.2
2026-01-16 02:00:00,Maitri,-10.2,5.98,317,1013.2,48.2
2026-01-16 03:00:00,Maitri,-11.99,31.71,128,992.0,92.0
2026-01-16 04:00:00,Maitri,0.1,19.54,208,1011.8,72.0
2026-01-16 05:00:00,Maitri,-8.91,8.0,328,972.1,87.4
2026-01-16 06:00:00,Maitri,-26.99,24.75,240,999.7,60.2
2026-01-16 07:00:00,Maitri,-13.89,13.75,124,972.5,51.6
2026-01-16 08:00:00,Maitri,-24.65,19.46,188,1011.3,52.9
2026-01-16 09:00:00,Maitri,-22.88,33.2,15,991.9,58.5
2026-01-16 10:00:00,Maitri,2.32,33.82,256,995.6,68.8
2026-01-16 11:00:00,Maitri,-4.15,46.16,138,964.4,88.3
2026-01-16 12:00:00,Maitri,-7.72,21.66,187,990.0,52.8
